PROD_KEY,DURABLE_PROD_KEY,PRODUCT_CODE,PRODUCT_FAMILY,SUB_ACCT,PROD_TECHNICAL_NAME,COMMERCIAL_OFFER_NAME,OFFER_GROUP_NAME,PRODUCT_TYPE,PRODUCT_SUB_TYPE,BUNDLE_VALIDITY,ADDON_TYPE,TP_SHARE,PRINCIPLE_AGENT,DIGITAL_PRICE,PORTFOLIO,FILE_NAME,source
8324,8324,BUNDLEGIFT-WEEKLY EXTREME PLUS-360-7,REMARKS,0,BUNDLEGIFT-WEEKLY EXTREME PLUS-360-7,WEEKLY EXTREME PLUS - GIFT,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8455,8455,BUNDLEGIFT-WEEKLY EXTREME PLUS-405-7,REMARKS,0,BUNDLEGIFT-WEEKLY EXTREME PLUS-405-7,WEEKLY EXTREME PLUS - GIFT,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8390,8390,BUNDLEGIFT-WEEKLY EXTREME PLUS-320-7,REMARKS,0,BUNDLEGIFT-WEEKLY EXTREME PLUS-320-7,WEEKLY EXTREME PLUS - GIFT,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8417,8417,BUNDLEGIFT-WEEKLY EXTREME PLUS-365-7,REMARKS,0,BUNDLEGIFT-WEEKLY EXTREME PLUS-365-7,WEEKLY EXTREME PLUS - GIFT,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8458,8458,BUNDLEGIFT-MONTHLY ULTRA - 20GB-745-30,REMARKS,0,BUNDLEGIFT-MONTHLY ULTRA - 20GB-745-30,MONTHLY ULTRA - GIFT,MONTHLY ULTRA,GPRS,GPRS,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8484,8484,PL_EASY CARD MEGA PLUS_URBAN_300_10_30,REMARKS,0,PL_EASY CARD MEGA PLUS_URBAN_300_10_30,EASY CARD MEGA PLUS_PLDISC,EASY CARD MEGA PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,"",51
8278,8278,PL_WEEKLY EXTREME PLUS_URBAN_360_10_40,REMARKS,0,PL_WEEKLY EXTREME PLUS_URBAN_360_10_40,WEEKLY EXTREME PLUS_PLDISC,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,"",51
8492,8492,PL_MONTHLY SOCIAL EXTREME_SH_150_10_20,REMARKS,0,PL_MONTHLY SOCIAL EXTREME_SH_150_10_20,MONTHLY SOCIAL EXTREME_PLDISC,MONTHLY SOCIAL EXTREME,GPRS,GPRS,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,"",51
8323,8323,BUNDLEGIFT-ENTERTAINMENT OFFER-114-30,REMARKS,0,BUNDLEGIFT-ENTERTAINMENT OFFER-114-30,ENTERTAINMENT OFFER GIFT,TIKTOK BUNDLE,GPRS,GPRS,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8470,8470,PL_EASY CARD MEGA PLUS_AJK_350_10_100,REMARKS,0,PL_EASY CARD MEGA PLUS_AJK_350_10_100,EASY CARD MEGA PLUS_PLDISC,EASY CARD MEGA PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,"",51
8478,8478,PL_WEEKLY EXTREME OFFER_NWD_350_10_50,REMARKS,0,PL_WEEKLY EXTREME OFFER_NWD_350_10_50,WEEKLY EXTREME OFFER_PLDISC,WEEKLY EXTREME OFFER,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,"",51
8473,8473,PL_MONTHLY EXTREME_NWD_1100_10_100,REMARKS,0,PL_MONTHLY EXTREME_NWD_1100_10_100,MONTHLY EXTREME_PLDISC,MONTHLY EXTREME,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,"",51
8474,8474,PL_MONTHLY EXTREME_AJK_1200_10_100,REMARKS,0,PL_MONTHLY EXTREME_AJK_1200_10_100,MONTHLY EXTREME_PLDISC,MONTHLY EXTREME,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,"",51
8476,8476,PL_MONTHLY EXTREME_NWD_1100_10_200,REMARKS,0,PL_MONTHLY EXTREME_NWD_1100_10_200,MONTHLY EXTREME_PLDISC,MONTHLY EXTREME,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,"",51
8488,8488,PL_WEEKLY EXTREME PLUS_SH_360_10_30,REMARKS,0,PL_WEEKLY EXTREME PLUS_SH_360_10_30,WEEKLY EXTREME PLUS_PLDISC,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,"",51
8225,8225,BUNDLEGIFT-MONTHLY EASYCARD-700-30,REMARKS,0,BUNDLEGIFT-MONTHLY EASYCARD-700-30,MONTHLY EASY CARD - GIFT,MONTHLY EASY CARD,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8328,8328,BUNDLEGIFT-MONTHLY EASYCARD-600-30,REMARKS,0,BUNDLEGIFT-MONTHLY EASYCARD-600-30,MONTHLY EASY CARD - GIFT,MONTHLY EASY CARD,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8391,8391,BUNDLEGIFT-WEEKLY SOCIAL PACK-90-7,REMARKS,0,BUNDLEGIFT-WEEKLY SOCIAL PACK-90-7,WEEKLY SOCIAL PACK - GIFT,WEEKLY SOCIAL PACK,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8224,8224,BUNDLEGIFT-MONTHLY EASYCARD-800-30,REMARKS,0,BUNDLEGIFT-MONTHLY EASYCARD-800-30,MONTHLY EASY CARD - GIFT,MONTHLY EASY CARD,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8477,8477,PL_MONTHLY EXTREME_AJK_1200_10_200,REMARKS,0,PL_MONTHLY EXTREME_AJK_1200_10_200,MONTHLY EXTREME_PLDISC,MONTHLY EXTREME,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,"",51
8302,8302,BUNDLEGIFT-ULTRA PLUS-50GB-965-30,REMARKS,0,BUNDLEGIFT-ULTRA PLUS-50GB-965-30,MONTHLY ULTRA PLUS - NWD - GIFT,MONTHLY ULTRA PLUS,GPRS,GPRS,30,NOT APPLICABLE,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8468,8468,PL_WEEKLY EASY CARD_NWD_200_10_50,REMARKS,0,PL_WEEKLY EASY CARD_NWD_200_10_50,WEEKLY EASY CARD_PLDISC,WEEKLY EASY CARD,HYBRID,HEAVY VOICE HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,"",51
8264,8264,BUNDLEGIFT-MONTHLY EXTREME PLUS-1300-30,REMARKS,0,BUNDLEGIFT-MONTHLY EXTREME PLUS-1300-30,MONTHLY EXTREME PLUS - NWD - MTA - GIFT,MONTHLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8312,8312,BUNDLEGIFT-MONTHLY EXTREME PLUS-1295-30,REMARKS,0,BUNDLEGIFT-MONTHLY EXTREME PLUS-1295-30,MONTHLY EXTREME PLUS - NWD - MTA - GIFT,MONTHLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
8326,8326,BUNDLEGIFT-MONTHLY EXTREME PLUS-1195-30,REMARKS,0,BUNDLEGIFT-MONTHLY EXTREME PLUS-1195-30,MONTHLY EXTREME PLUS - NWD - MTA - GIFT,MONTHLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,"",51
